idx	Nuv	auv	buv	Ndv	adv	bdv	Nub	Ndb	M1
4184	1.7034E-01	4.4195E-01	4.2959E+00	-4.1361E-01	2.2819E+00	1.5458E+01	5.8124E-02	-1.2791E-01	1.3117E+00
4185	1.7592E-01	7.3314E-01	6.4383E+00	-4.1645E-01	2.3012E+00	1.5798E+01	6.0242E-02	-1.2321E-01	1.2655E+00
4186	1.8687E-01	8.3526E-01	5.5735E+00	-4.2083E-01	2.3706E+00	1.5908E+01	6.4228E-02	-1.2603E-01	1.3683E+00
4187	1.7935E-01	1.0156E+00	8.3525E+00	-4.1612E-01	2.3447E+00	1.5859E+01	5.8303E-02	-1.2619E-01	1.3273E+00
4188	1.7399E-01	7.8502E-01	5.4836E+00	-4.1504E-01	2.3649E+00	1.5705E+01	6.0579E-02	-1.2611E-01	1.3338E+00
4189	1.7504E-01	8.5389E-01	5.7997E+00	-4.1099E-01	2.3522E+00	1.5730E+01	6.9051E-02	-1.3112E-01	1.3371E+00
4190	1.6958E-01	7.6337E-01	6.9405E+00	-4.1374E-01	2.4917E+00	1.6741E+01	6.1958E-02	-1.2945E-01	1.2588E+00
4191	1.7267E-01	4.6981E-01	4.9542E+00	-4.1680E-01	2.4135E+00	1.6299E+01	5.9794E-02	-1.2620E-01	1.3465E+00
4192	1.7906E-01	4.5668E-01	4.5998E+00	-4.1309E-01	2.3345E+00	1.5847E+01	6.0370E-02	-1.3079E-01	1.2744E+00
4193	1.6939E-01	5.1173E-01	5.4671E+00	-4.0947E-01	2.3516E+00	1.5900E+01	4.5933E-02	-1.2428E-01	1.3185E+00
4194	1.8449E-01	8.7850E-01	6.7337E+00	-4.1524E-01	2.3062E+00	1.5549E+01	7.1957E-02	-1.2877E-01	1.3256E+00
4195	1.7156E-01	5.0462E-01	4.6975E+00	-4.1041E-01	2.3324E+00	1.5573E+01	5.6818E-02	-1.2956E-01	1.3323E+00
4196	1.7834E-01	8.6056E-01	6.4842E+00	-4.1949E-01	2.3288E+00	1.5629E+01	6.6073E-02	-1.2551E-01	1.3515E+00
4197	1.6999E-01	6.9248E-01	6.2062E+00	-4.1238E-01	2.2894E+00	1.5538E+01	5.4381E-02	-1.2070E-01	1.3382E+00
4198	1.8186E-01	5.1685E-01	4.8372E+00	-4.1372E-01	2.3622E+00	1.5982E+01	5.5316E-02	-1.2662E-01	1.3176E+00
4199	1.6924E-01	5.2980E-01	5.1891E+00	-4.0848E-01	2.2677E+00	1.5496E+01	6.1862E-02	-1.2759E-01	1.2935E+00
4200	1.7512E-01	4.8023E-01	4.0864E+00	-4.1273E-01	2.3254E+00	1.5340E+01	5.2961E-02	-1.2807E-01	1.3560E+00
4201	1.8022E-01	7.0388E-01	5.9320E+00	-4.1759E-01	2.3402E+00	1.5879E+01	5.9396E-02	-1.2589E-01	1.3006E+00
4202	1.7056E-01	9.9950E-01	8.7290E+00	-4.1343E-01	2.3820E+00	1.6079E+01	6.9310E-02	-1.2816E-01	1.3221E+00
4203	1.7512E-01	7.5357E-01	5.5414E+00	-4.1343E-01	2.3477E+00	1.5707E+01	6.8705E-02	-1.2787E-01	1.3116E+00
4204	1.6969E-01	6.5741E-01	5.2962E+00	-4.1374E-01	2.3520E+00	1.5870E+01	6.8110E-02	-1.2748E-01	1.3190E+00
