kt	u	d	ub	db	uv	dv	du	dd	dub	ddb	duv	ddv
1.360000E+00	-5.929801E-03	6.491703E-03	-1.748265E-04	5.565118E-04	-5.785685E-03	5.966848E-03	2.437074E-03	3.592271E-03	7.215881E-05	1.998212E-04	2.388715E-03	3.465268E-03
1.370000E+00	-5.583496E-03	6.115066E-03	-1.644988E-04	5.237061E-04	-5.447925E-03	5.621194E-03	2.333601E-03	3.421573E-03	6.890181E-05	1.917042E-04	2.286863E-03	3.298230E-03
1.380000E+00	-5.255438E-03	5.758118E-03	-1.547229E-04	4.926494E-04	-5.127955E-03	5.293574E-03	2.233241E-03	3.257653E-03	6.576270E-05	1.838020E-04	2.188115E-03	3.138004E-03
1.390000E+00	-4.944799E-03	5.419972E-03	-1.454734E-04	4.632608E-04	-4.824965E-03	4.983179E-03	2.135983E-03	3.100313E-03	6.273860E-05	1.761163E-04	2.092457E-03	2.984380E-03
1.400000E+00	-4.650780E-03	5.099776E-03	-1.367256E-04	4.354627E-04	-4.538179E-03	4.689229E-03	2.041808E-03	2.949360E-03	5.982670E-05	1.686482E-04	1.999866E-03	2.837150E-03
1.410000E+00	-4.372609E-03	4.796705E-03	-1.284558E-04	4.091801E-04	-4.266844E-03	4.410972E-03	1.950695E-03	2.804601E-03	5.702420E-05	1.613983E-04	1.910316E-03	2.696112E-03
1.420000E+00	-4.109544E-03	4.509965E-03	-1.206413E-04	3.843409E-04	-4.010237E-03	4.147679E-03	1.862614E-03	2.665848E-03	5.432833E-05	1.543666E-04	1.823776E-03	2.561064E-03
1.430000E+00	-3.860869E-03	4.238790E-03	-1.132600E-04	3.608756E-04	-3.767660E-03	3.898653E-03	1.777531E-03	2.532914E-03	5.173635E-05	1.475527E-04	1.740208E-03	2.431809E-03
1.440000E+00	-3.625895E-03	3.982442E-03	-1.062908E-04	3.387176E-04	-3.538443E-03	3.663218E-03	1.695408E-03	2.405614E-03	4.924552E-05	1.409557E-04	1.659571E-03	2.308156E-03
1.450000E+00	-3.403961E-03	3.740212E-03	-9.971358E-05	3.178027E-04	-3.321940E-03	3.440725E-03	1.616203E-03	2.283767E-03	4.685315E-05	1.345742E-04	1.581823E-03	2.189914E-03
1.460000E+00	-3.194431E-03	3.511418E-03	-9.350878E-05	2.980695E-04	-3.117532E-03	3.230552E-03	1.539870E-03	2.167195E-03	4.455654E-05	1.284065E-04	1.506913E-03	2.076896E-03
1.470000E+00	-2.996693E-03	3.295404E-03	-8.765777E-05	2.794588E-04	-2.924622E-03	3.032098E-03	1.466359E-03	2.055722E-03	4.235302E-05	1.224504E-04	1.434792E-03	1.968922E-03
