i,obs,value,stat,syst1,Q2,x,z,pT,target,hadron
226,M_Hermes,0.6508341,0.09484834,0.1888565,5.223411,0.2530129,0.144047,0.3004338,deuteron,k+
227,M_Hermes,0.7445567,0.101312,0.04942788,5.223411,0.2530129,0.1432581,0.4003183,deuteron,k+
228,M_Hermes,0.4156722,0.06909413,0.06223026,5.223411,0.2530129,0.1467086,0.5136794,deuteron,k+
229,M_Hermes,0.1576021,0.05514733,0.01190075,5.223411,0.2530129,0.1551147,0.6907254,deuteron,k+
230,M_Hermes,0.09346788,0.0715659,0.007045378,5.224152,0.2530245,0.1632253,0.8975317,deuteron,k+
231,M_Hermes,0.2530562,0.02535844,0.0172635,5.223411,0.2530129,0.2253175,0.1002428,deuteron,k+
232,M_Hermes,0.5675318,0.04854895,0.2443649,5.223411,0.2530129,0.2254307,0.2003508,deuteron,k+
233,M_Hermes,0.4078258,0.0549415,0.08012176,5.223411,0.2530129,0.2254852,0.2978262,deuteron,k+
234,M_Hermes,0.5197322,0.06977081,0.1116576,5.223411,0.2530129,0.2223266,0.4000392,deuteron,k+
235,M_Hermes,0.2956429,0.04412185,0.1182791,5.223411,0.2530129,0.2243777,0.520837,deuteron,k+
236,M_Hermes,0.1495834,0.03121852,0.04022568,5.223411,0.2530129,0.2263498,0.6767541,deuteron,k+
237,M_Hermes,0.06513843,0.02866626,0.0175169,5.220033,0.2530312,0.2268044,0.920282,deuteron,k+
